"scenario","scenario_kind","bench_test","rtr","budget","budget_env","avg_ts","ok","log"
"tg32","tg","tg32","off","default","","0.010970","True","tg32_off_budget_default.log"
"tg32","tg","tg32","off","16","16","0.011009","True","tg32_off_budget_16.log"
"tg32","tg","tg32","off","32","32","0.012370","True","tg32_off_budget_32.log"
"pg32,4","pg","pp512","off","default","","5.216895","True","pg32_4_off_budget_default.log"
"pg32,4","pg","tg128","off","default","","0.014282","True","pg32_4_off_budget_default.log"
"pg32,4","pg","pp32+tg4","off","default","","0.112444","True","pg32_4_off_budget_default.log"
"pg32,4","pg","pp512","off","16","16","5.653088","True","pg32_4_off_budget_16.log"
"pg32,4","pg","tg128","off","16","16","0.015390","True","pg32_4_off_budget_16.log"
"pg32,4","pg","pp32+tg4","off","16","16","0.127987","True","pg32_4_off_budget_16.log"
"pg32,4","pg","pp512","off","32","32","5.009826","True","pg32_4_off_budget_32.log"
"pg32,4","pg","tg128","off","32","32","0.014790","True","pg32_4_off_budget_32.log"
"pg32,4","pg","pp32+tg4","off","32","32","0.116957","True","pg32_4_off_budget_32.log"
